State,Program/Opportunity Name,"Grade Levels
(Key: 0 - K and under, 13 - over high school)",,Eligibility Requirements,Cost/Funding,Cost/Funding Breakdown,,,,Deadlines,Deadlines,,Website/Link,Category (Type of Opportunity),"Field (Area of Focus)
Original",Delivery Context (Where Offered),Notes,,,,,,,,,,,,,,,,
Hawaii,Akamai Workforce,9,12,Hawaii students,Paid,,Y,N,,Summer,Summer,,Https://www.hawaii.edu/news/2024/12/17/akamai-internship-program/,Other,Science,Outside School,,,,,,,,,,,,,,,,,
Hawaii,Dual Credit / Running Start Program,11,12,"GPA requirement, school approval",Free tuition (state-supported),,N,,School-funded,Varies,Varies,,https://www.hawaii.edu/dualcredit,Academic Program,Multidisciplinary,Through School,College credit while in HS,,,,,,,,,,,,,,,,
Hawaii,Goodwill Hawaii,1,13,Youth in non-traditional,Free,,N,,,None,Rolling Admission,,Https://www.goodwillhawaii.org/goodwill-programs/community-services/youth-services/,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Hawaii,Hawaii 4-H Youth Development,6,12,Open to all ,Free or low-cost,Low/Free,Y,Y,,Varies,Varies,,https://hawaii4h.org,Volunteer/Service,Leadership / Business,Outside School,"Focus on leadership, agriculture, service",,,,,,,,,,,,,,,,
Hawaii,Hawaii Academy of Science,6,12,Hawaii students,Grants available,,Y,Y,,Fall,Fall,,Https://www.hawaiiacademyofscience.org/hyip,Academic Program,Science,Outside School,,,,,,,,,,,,,,,,,
Hawaii,Hawaii DECA,9,12,Open to all students,,,,,,,,,hideca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Hawaii Distinguished Young Women Program,11,12,High school junior/senior girls,,,,,,,,,hidyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Hawaii Early College Programs,9,12,Current HS students,,,,,,,,,hawaiipublicschools.org,Academic Program,General Academic,Through School,Dual enrollment opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Hawaii High School Athletic Association (HHSAA),9,12,School athletic eligibility,Varies by sport,Varies,Y,N,,Seasonal,Seasonal,,https://www.sportshigh.com,Other,Sports,At School,Statewide athletics & championships,,,,,,,,,,,,,,,,
Hawaii,Hawaii HOSA–Future Health Professionals,9,12,Membership; interest in health careers,Membership fee,,Y,N,,Fall,Fall,,https://www.hawaiihosa.org,Club,Health / Medicine,At School,Health leadership & competition,,,,,,,,,,,,,,,,
Hawaii,Hawaii Key Club,9,12,Open to all students,,,,,,,,,hikeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Hawaii Online Courses,9,12,Hawaii students,Free,,N,,,April 7th,,,Https://sites.google.com/hawaiidoe.k12.hi.us/e-school/registration/summer-2025-registration,Academic Program,Technology / Coding,Through School,,,,,,,,,,,,,,,,,
Hawaii,Hawaii Rotary Youth Foundation,12,12,High-school seniors,5-10k Scholarships,,,,,Feb 1st,,,Https://www.hawaiirotaryyouthfoundation.org/sitepage/apply-now,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Hawaii,Hawaii Science Olympiad,6,12,Team-based,,,,,,2/1/2025,,February,hiscio.org,Competition,Science,At School,STEM competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Hawaii Speech League,9,12,Open to all students,,,,,,,,,hispeechleague.org,Club,Speech & Debate,At School,Statewide debate & speech tournaments,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Hawaii State Math Bowl,9,12,School math team participation,Free or low cost,Low/Free,Y,Y,,Spring,Spring,,https://mc.byuh.edu/math-bowl,Competition,Math,At School,State-level math competition,,,,,,,,,,,,,,,,
Hawaii,Hawaii State Science & Engineering Fair (HSSEF),6,12,Regional fair winners,Free; sponsored,,N,,,Spring,Spring,,https://hssef-hi.com,Competition,Science,Outside School,Qualifier for InterUSA Science Fair,,,,,,,,,,,,,,,,
Hawaii,Hawaii Youth Symphony,6,12,Audition required,"Tuition, scholarships available",,Y,Y,,Fall,Fall,,https://www.hawaiiyouthsymphony.org,Club,Arts,Outside School,Prestigious statewide music program,,,,,,,,,,,,,,,,
Hawaii,HIDOE summer learning,1,12,Depends on school,Free,,N,,,Summer,Summer,,Https://hawaiipublicschools.org/2025-summer-learning-2025/,Academic Program,Science,Through School,,,,,,,,,,,,,,,,,
Hawaii,Pacific & Asian Affairs Council (PAAC) Global Education,9,12,Interest in global studies,"
Free or low cost",Low/Free,Y,Y,,Varies,Varies,,https://paachawaii.org,Academic Program,Multidisciplinary,Outside School,"Leadership, interUSA focus",,,,,,,,,,,,,,,,
Hawaii,Stem Works internship,9,12,Students and residents,Paid,,Y,N,,Spring,Spring,,Https://www.stemworkshawaii.org/internships,Other,Science,Outside School,,,,,,,,,,,,,,,,,
Hawaii,The Ha Initiative,2,8,Students,Free,,N,,,None,Rolling Admission,,Https://www.hcapweb.org/ha-initiative/,Academic Program,Technology / Coding,Outside School,,,,,,,,,,,,,,,,,
Hawaii,UH COE summer program,1,12,Hawaii students,550 to 880 per session,715.00,Y,N,,Summer,Summer,,Https://crdg.hawaii.edu/summerprograms/,Academic Program,Science,Outside School,,,,,,,,,,,,,,,,,
Hawaii,University of Hawaii Summer Programs,6,12,Open to all students,,,,,,,,,hawaii.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Hawaii,Work Hawaii,9,13,At risk youth,Free,,N,,,None,Rolling Admission,,Https://www.honolulu.gov/dcs/dcs-workhawaii-youth-services/,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Idaho,Boise State University Summer Programs,6,12,Open to all students,,,,,,,Varies,,boisestate.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Idaho,Idaho 4-H STEM / Youth Development,6,12,Open enrollment,Free or low cost,,N,,,Varies (chapter/state conference dates),Varies,,https://www.idahodeca.org/,Club,Leadership / Business,At School,Business/marketing competitions & leadership,,,,,,,,,,,,,,,,
Idaho,Idaho DECA,9,12,Business / marketing class or chapter membership,Membership fee,,Y,N,,Varies (chapter deadlines; state SLC dates),,,https://www.idahohosa.org/,Club,Health / Medicine,At School,Health-care career skills & competitions,,,,,,,,,,,,,,,,
Idaho,Idaho Distinguished Young Women Program,11,12,High school junior/senior girls,,,,,,,,,iddyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Idaho,Idaho Fast Forward Programs,9,12,Current HS students,,,,,,,,,idahofastforward.org,Academic Program,General Academic,Through School,Dual enrollment opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Idaho,Idaho FFA,9,12,Enrollment in agriculture / FFA class,Membership dues,,Y,N,,Fall / school year enrollment,Fall,,"
https://www.idahoffa.org/",Club,Leadership / Business,At School,"Career development events (CDE/LDE), scholarships",,,,,,,,,,,,,,,,
Idaho,Idaho HOSA — Future Health Professionals,9,12,State chapter membership,Membership fee,,Y,N,,Varies by program,Varies,,https://stem.idaho.gov/,Other,Technology / Coding,Through School,"Offers i-STEM institutes, externships, resources",,,,,,,,,,,,,,,,
Idaho,Idaho Key Club,9,12,Open to all students,,,,,,,,,idkeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Idaho,Idaho MathCounts or State Math Competitions,6,12,Middle school students,Free or low cost,Low/Free,Y,Y,,Chapter & State: Jan–Mar (varies),,March,https://www.mathcounts.org/node/277419?utm_source=chatgpt.com,Competition,Math,Outside School,State competition coordinated through MathCounts Foundation,,,,,,,,,,,,,,,,
Idaho,Idaho Science & Engineering Fairs (IDSEF),6,12,"Regional winners, state residency",Free; sponsored,,N,,,Jan–Mar,,March,https://stem.idaho.gov/idsef/,Competition,Science,Outside School,State qualifier for ISEF (regional fairs),,,,,,,,,,,,,,,,
Idaho,Idaho Science Olympiad,6,12,Team-based,,,,,,2/1/2025,,,idscio.org,Competition,Science,At School,STEM competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Idaho,Idaho STEM Action Center Programs & Externships,6,12,Open to Idaho students,Free / funded,,N,,Privately-funded,Rolling / county program dates,Rolling Admission,,https://www.uidaho.edu/extension/4h,Volunteer/Service,Multidisciplinary,Outside School,"STEM, leadership, Learn-Everywhere credit options",,,,,,,,,,,,,,,,
Idaho,McCall Outdoor Science School (MOSS),6,12,Open to Idaho K-12 / district selection,Tuition or scholarship,,Y,Y,,Summer / program registration windows,Summer,,https://moss.uidaho.edu/,Academic Program,Science,Outside School,Residential outdoor science education (field campus),,,,,,,,,,,,,,,,
Idaho,University of Idaho Summer Programs,6,12,Open to all students,,,,,,,,,uidaho.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Academic Decathlon,9,12,School team,School pays,,N,,School-funded,March,,March,https://www.illinoisacademicdecathlon.org,Competition,Multidisciplinary,At School,Academic competition,,,,,,,,,,,,,,,,
Illinois,Chicago Architecture Teen Program,9,12,"Application, design interest",Free,,N,,,Various,Varies,,https://www.architecture.org,Academic Program,Arts,Outside School,Architecture learning,,,,,,,,,,,,,,,,
Illinois,CPS Science Fair,6,12,Chicago Public Schools student,Free,,N,,,March,,March,https://www.cps.edu,Competition,Science,At School,Chicago science fair,,,,,,,,,,,,,,,,
Illinois,Explorations in Neuroscience - UChicago,10,12,Application; Interest in Neuroscience ,"$8,350",8350.00,Y,N,,January ,,January,https://summer.uchicago.edu/,Academic Program,Health / Medicine,Outside School,,,,,,,,,,,,,,,,,
Illinois,Illinois 4-H,8,13,Anyone can join,Small fee,,N,,,Ongoing,Rolling Admission,,https://4h.extension.illinois.edu,Club,Leadership,Outside School,Youth development,,,,,,,,,,,,,,,,
Illinois,Illinois Chamber Music Festival ,7,12,,$950,950.00,Y,N,,May,,May,https://www.ilchambermusicfestival.com/application,Club,Arts,Outside School,,,,,,,,,,,,,,,,,
Illinois,Illinois DECA,9,12,Open to all students,,,,,,,,,ildeca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Illinois Distinguished Young Women Program,11,12,High school junior/senior girls,,,,,,,,,ildyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Illinois Dual Credit Programs,9,12,Current HS students,,,,,,,,,isbe.net,Academic Program,General Academic,Through School,Dual enrollment opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Illinois Junior Academy of Science ,6,12,Science fair project; school sponsorship ,Free,,N,,,Varies,Varies,,https://ijas.org/,Competition,Science,At School,,,,,,,,,,,,,,,,,
Illinois,Illinois Key Club,9,12,Open to all students,,,,,,,,,ilkeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Illinois Science Fair,6,12,Research project,Registration fee,,Y,N,,Spring,Spring,,https://www.ijas.org,Competition,Science,Through School,State science fair,,,,,,,,,,,,,,,,
Illinois,Illinois Science Olympiad,6,12,Team-based,,,,,,2/1/2025,,February,illinoisscioly.org,Competition,Science,At School,STEM competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Illinois State Scholars,12,12,Top GPA and test scores,Honor,,,,,Automatic,Rolling Admission,,https://www.isac.org,Scholarship,Multidisciplinary,Through School,Academic recognition,,,,,,,,,,,,,,,,
Illinois,Illinois Theatre Festival,9,12,Drama program,Registration fee,,Y,N,,January,,February,https://www.ihstf.org,Competition,Arts,Through School,Large theater event,,,,,,,,,,,,,,,,
Illinois,IMSA Academy,10,12,"Top grades, Illinois resident",Free tuition,,N,,,15-Jan,,,https://www.imsa.edu,Academic Program,STEM,Outside School,Residential high school,,,,,,,,,,,,,,,,
Illinois,Northwestern University Summer Programs,7,12,Open to all students,,,,,,,,,northwestern.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Polygence Core Program ,9,12,Passion for research; online application,From $2895,2895.00,Y,N,,October 15,,October,https://www.polygence.org/core-program,Other,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Illinois,Polygence Pods Short Courses ,9,12,Beginner-friendly; no prior experience needed,From $495,495.00,Y,N,,Varies,Varies,,https://www.polygence.org/polygence-pods,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Illinois,Posse Scholarship Chicago,12,12,"Leadership, nominated",Full tuition,,,,,Fall,Fall,,https://www.possefoundation.org,Scholarship,Leadership,Outside School,Leadership scholarship,,,,,,,,,,,,,,,,
Illinois,STEM Camp,9,12,,"$1,960",1960.00,Y,N,,June,,June,https://www.emaginationstemcamps.com/illinois-stem-camps,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Illinois,Student Principals Association,9,12,Leadership interest,Membership fee,,Y,N,,Various,Varies,,https://ilprincipals.org,Club,Leadership,At School,Student leadership,,,,,,,,,,,,,,,,
Illinois,University of Chicago Summer Programs,7,12,Open to all students,,,,,,,,,summer.uchicago.edu,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,University of Illinois Urbana-Champaign Summer Programs,6,12,Open to all students,,,,,,,,,illinois.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Illinois,Veritas AI Fellowship,9,12,Basic Python or AI Scholars completion,Varies,Varies,Y,N,,Varies,Varies,,https://www.veritasai.com/,Club,Technology / Coding,Through School,,,,,,,,,,,,,,,,,
Illinois,Young Scholars Summer STEMM Research Programs,9,12,,Free,,N,,,No deadline,Rolling Admission,,https://wyse.grainger.illinois.edu/summer-programs/young-scholars-summer-research,Other,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Indiana,Advance College Project (ACP),10,12,"• Meet all prerequisites (if any) for the specific course (C grade or better)
• GPA (2.70+)","• Free for Indiana students. 
• $25 per credit plus $156 out-of-state fee for out-of-state students.
• school-funded",181.00,Y,Y,School-funded,Rolling admission,Rolling Admission,,https://acp.iu.edu/,Academic Program,Multidisciplinary,Through School,"• Similar to Minnesota's CIS courses
• Offered by Indiana University",,,,,,,,,,,,,,,,
Indiana,Business Orientation Project (BOP),10,12,"Must have participated in CLD's 
Self-Discovery/Career Exploration Project",$25 fee,25.00,Y,N,,January 9,,January,https://cldinc.org/program/business-orientation-project-bop/,Other,Business,Outside School,"• Provided by Center for Leadership Development in collab with  Kelley School of Business lead and local business leaders
• programs by CLD are aimed at minority youths",,,,,,,,,,,,,,,,
Indiana,"Conner Prairie Youth Volunteer 
General Program",5,12,open to all,"• privately funded
• free",,N,,Privately-funded,January 9,,January,https://www.connerprairie.org/get-involved,Volunteer/Service,Leadership,Outside School,Volunteer opportunities at a historical center.,,,,,,,,,,,,,,,,
Indiana,Fine Arts Camp,5,9,open to girls only,Fee TBD,,Y,N,,TBD,,,https://www.saintmarys.edu/camps/fine-arts,Other,Arts,Outside School,"• Provided by St. Mary's college
• Offers a multitude of art related activities",,,,,,,,,,,,,,,,
Indiana,Future Scientist Program - Indiana University ,11,11,Marion County public School; 3.0+ GPA,Free,,N,,,Late 2025,,December,https://cancer.iu.edu/education/summer/future-scientist.html,Other,Science,Through School,,,,,,,,,,,,,,,,,
Indiana,Girls Inc. of Greater Indianipolis Summer Programs,6,9,Girls only; registration ,Free,,N,,,Varies,Varies,,https://girlsincindy.org/,Club,Leadership / Business,Through School,,,,,,,,,,,,,,,,,
Indiana,Indiana Choice Scholarship Program,0,12,"• Must be a legal resident of Indiana
• Be 5-22 years old
• Household annual income of not more than 400% of the amount to qualify for the federal free and reduced price lunch program",Funded by state,,,,School-funded,January 15,,January,https://www.in.gov/doe/students/indiana-choice-scholarship-program/,Scholarship,Multidisciplinary,Through School,"From the official FAQs: ""The Choice Scholarship Program provides state funding to qualifying
students that is used to offset tuition costs at participating Choice
schools.""
• Statewide",,,,,,,,,,,,,,,,
Indiana,Indiana DECA,9,12,Open to all students,,,,,,,,,indeca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Indiana,Indiana Distinguished Young Women Program,11,12,High school junior/senior girls,,,,,,,,,indyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Indiana,Indiana DNR Youth Outdoor Programs,6,12,Interest in outdoors,Free,,N,,,Varies,Varies,,https://www.in.gov/dnr/,Volunteer/Service,Sports,Outside School,,,,,,,,,,,,,,,,,
Indiana,Indiana Key Club,9,12,Open to all students,,,,,,,,,inkeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Indiana,Indiana Science Olympiad,6,12,Team-based,,,,,,2/1/2025,,February,inscio.org,Competition,Science,At School,STEM competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Indiana,Indiana University Summer Programs,6,12,Open to all students,,,,,,,,,indiana.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Indiana,IU Health High School Intership,11,12,Interest in Heathcare;application,Free,,N,,,Spring 2026,Spring,,https://iuhealth.org/,Other,Health / Medicine,Through School,,,,,,,,,,,,,,,,,
Indiana,Ladder Intership Program,9,12,10-20 hrs/week for 8-12 weeks,From $2490,2490.00,Y,N,,Varies,Varies,,https://www.lumiere-education.com/post/internships-for-high-school-students-in-indiana,Other,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Indiana,Make a Difference Grant,0,12,"Youth in Vanderburgh, Warrick, Posey, Gibson, 
Spencer, Perry, and Henderson (KY) are eligible.",privately funded,,,,Privately-funded,January 23,,January,https://youth-resources.org/programs/mad-grants/madgrantapplication/,Volunteer/Service,Leadership,Outside School,"Students create a community service
proposal, and if approved, Youth 
Resources of Southwest Indiana provides them with a grant to carry it out.",,,,,,,,,,,,,,,,
Indiana,Middle School STEAM Club,6,8,open to all,$200 per student,200.00,Y,N,,February  3,,February,https://www.indianatech.edu/steam/after-school-programs/middle-school-steam-club/,Club,Multidisciplinary,Outside School,"• Explores fields in ""STEAM""
• After-school program offered by and provided at Indiana Tech College",,,,,,,,,,,,,,,,
Indiana,Molecular Medicine in Action,10,12,Essay,"• privately funded
• free",,N,,Privately-funded,November 7,,November,https://mmia.medicine.iu.edu/,Other,Health,Outside School,"• Yearly
• Gives students hands on experience with medicine technology",,,,,,,,,,,,,,,,
Indiana,Notre Dame Pre-College Programs,10,12,Competitive application; essay and transcript,"~$3,000",,Y,N,,February 2026,,February,https://precollege.nd.edu/,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Indiana,Purdue University Summer Programs,6,12,Open to all students,,,,,,,,,purdue.edu/summer,Academic Program,STEM,Outside School,Engineering & science camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Indiana,Robotic Warriors Club,6,12,open to all,$400 per student,400.00,Y,N,,September 10,,September,https://www.indianatech.edu/steam/after-school-programs/robotic-warriors-club/,Club,Technology,Outside School,"• After-school program offered by and provided at Indiana Tech College
• Yearly
• Student teams participate in the annual USA Robotics Challenge (NRC)",,,,,,,,,,,,,,,,
Indiana,Rose-Hulman Catapult STEM Camp,9,12,Interest in engineering/math,"~$1,000",1000.00,Y,N,,May 2026,,May,https://www.rose-hulman.edu/,Academic Program,Math,Outside School,,,,,,,,,,,,,,,,,
Indiana,TechPoint Summer Opportunities ,10,12,Indiana residents; interest in tech,Free,,N,,,Spring 2026,Spring,,https://techpoint.org/,Club,Technology / Coding,Outside School,,,,,,,,,,,,,,,,,
Indiana,Zoo Teens,7,12,open to all,"• privately funded
• free",,N,,Privately-funded,November 1,,November,https://www.indianapoliszoo.com/about-the-zoo/volunteers/,Volunteer/Service,Leadership,Outside School,"Volunteer opportunities at 
Indianapolis Zoo",,,,,,,,,,,,,,,,
Iowa,GEAR UP Iowa,7,12,Must be in GEAR UP cohort,Free,,N,,,,,,https://educate.iowa.gov/,Academic Program,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Iowa,Iowa Concurrent Enrollment Programs,9,12,Current HS students,,,,,,,,,educateiowa.gov,Academic Program,General Academic,Through School,Dual enrollment opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Iowa,Iowa DECA,9,12,Open to all students,,,,,,,,,iadeca.org,Club,Business & Entrepreneurship,At School,Marketing & entrepreneurship competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Iowa,Iowa Department of Education Student Resources,6,12,Varies by program,Free,,N,,,Varies,Varies,,https://educate.iowa.gov/,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Iowa,Iowa Distinguished Young Women Program,11,12,High school junior/senior girls,,,,,,,,,iadyw.org,Competition,Leadership & Community Service,Through School,Scholarships & leadership development,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Iowa,Iowa DNR Outdoor Youth Programs,6,12,Interest in outdoors,Free-Low cost,Low/Free,Y,Y,,varies,Varies,,https://www.iowadnr.gov/,Volunteer/Service,Sports,Outside School,,,,,,,,,,,,,,,,,
Iowa,Iowa Key Club,9,12,Open to all students,,,,,,,,,iakeyclub.org,Club,Leadership & Community Service,At School,Service & leadership opportunities,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Iowa,Iowa Lakes Career Ready Intership,12,12,Graduating Seniors,Paid ($14/hr),,,,,Varies,Varies,,https://iowalakes.edu/academics/college-credit-for-high-school-students/high-school-partnerships/career-ready-internship-program/,Other,Leadership / Business,Outside School,,,,,,,,,,,,,,,,,
Iowa,Iowa Science Olympiad,6,12,Team-based,,,,,,2/1/2025,,February,iowascio.org,Competition,Science,At School,STEM competitions,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Iowa,Iowa State Fair Youth Contest,6,12,Entry form; project or performance,Free-Low cost,Low/Free,Y,Y,,July 2026,,July,https://www.iowastatefair.org/,Competition,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Iowa,Iowa State University Summer Programs,6,12,Open to all students,,,,,,,,,iastate.edu/summer,Academic Program,STEM,Outside School,Engineering & science camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Iowa,Iowa Youth Writing Project,6,12,Interest in writing,Free,,N,,,Varies,Varies,,https://iywp.org/,Volunteer/Service,Science,Through School,,,,,,,,,,,,,,,,,
Iowa,Kirkwood Regional Center Programs,10,12,GPA and Counselor Approval,Tuiton-based,,Y,N,,Varies,Varies,,https://www.kirkwood.edu/,Academic Program,Multidisciplinary,Outside School,,,,,,,,,,,,,,,,,
Iowa,University of Iowa Pre-College Programs,7,12,Application; varies by program,Varies,Varies,Y,N,,Spring 2026,Spring,,https://admissions.uiowa.edu/parents-family/youth-pre-college-programs,Academic Program,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Iowa,University of Iowa Summer Programs,6,12,Open to all students,,,,,,,,,uiowa.edu/summer,Academic Program,General Academic,Outside School,Academic enrichment camps,10/9/2025 2:02,10/9/2025 2:02,,,,,,,,,,,,,,
Kansas,Emporia State University Music Camp,6,12,Interest in music ,$300,300.00,Y,N,,May 2026,,May,https://www.emporia.edu/visual-and-performing-arts/music/,Club,Arts,Through School,,,,,,,,,,,,,,,,,
Kansas,Kansas 4-H Discovery Days,7,12,4-H membership or guest,$200,200.00,Y,N,,April 2026,,April,https://www.kansas4-h.org/educational-experiences/project-based-events/conferences-events/discovery-days/,Academic Program,Arts,Through School,,,,,,,,,,,,,,,,,
Kansas,Kansas Academy of Mathematics and Sciences(KAMS),10,10,Competitive application ,Free,,N,,,Feb 2026,,February,https://www.fhsu.edu/kams/,Academic Program,Math,Through School,,,,,,,,,,,,,,,,,
Kansas,Kansas Department of Education Student Resources,6,12,Varies by program,Free,,N,,,Varies,Varies,,https://www.ksde.gov/,Academic Program,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Kansas,Kansas State Fair Youth Competitions ,6,12,Entry form; project or performance,Free-Low Cost,Low/Free,Y,Y,,Aug 2026,,August,https://www.kansasstatefair.com/,Competition,Multidisciplinary,Through School,,,,,,,,,,,,,,,,,
Kansas,Kansas State University Summer Design Camp,9,12,Interest in design ,$400,400.00,Y,N,,May 2026,,May,https://apdesign.k-state.edu/,Club,Arts,Through School,,,,,,,,,,,,,,,,,
Kansas,K-State Health Professions Exploration Program,11,12,Interest in Health careers,$350,350.00,Y,N,,Spring 2026,Spring,,"https://www.hhs.k-state.edu/summerhealthprogram/#:~:text=July%2010-15%2C%202022,through%20the",Academic Program,Health / Medicine,Outside School,,,,,,,,,,,,,,,,,
Kansas,Newman Univerisity Investigative Summer STEM Program,10,12,Application; Interest in Science,$350,350.00,Y,N,,May 2026,,May,https://newmanu.edu/academics/academic-information/scholars-programs/investigative-summer-science-program,Academic Program,Science,Outside School,,,,,,,,,,,,,,,,,
Kentucky,Craft Academy for Excellence in Science and Mathematics (MSU),11,12,KY residency; competitive admissions,Public; tuition-free residential HS,,N,,School-funded,Application due winter; enroll junior year,Winter,,https://www.moreheadstate.edu/academics/colleges/craft-academy,Academic Program,Science,At School,Early-college residential STEM high school at MSU,,,,,,,,,,,,,,,,
Kentucky,Dual Credit Scholarship,9,12,Must be a Kentucky resident enrolled in a dual credit class.,Up to $97 per credit hour for two general education courses.,,Y,N,,"October 1, 2025, for the fall semester and March 1, 2026, for the spring semester.",Seasonal,,https://www.kheaa.com/web/scholarships-grants.faces,Scholarship,Multidisciplinary,Outside School,This scholarship helps students earn college credits while still in high school.,,,,,,,,,,,,,,,,
Kentucky,Gatton Academy of Mathematics and Science (WKU),11,12,KY residency; competitive admissions,$50; tuition-free residential HS,50.00,Y,N,,Application due winter; enroll junior year,Winter,,https://www.wku.edu/academy/,Academic Program,Science,At School,Early-college residential STEM high school at WKU,,,,,,,,,,,,,,,,
Kentucky,Governor’s Scholars Program (GSP),11,11,KY residency; competitive application; essays/recs,Free; state/private funded,,N,,Both,Applications due winter; summer residential,Winter,,https://gsp.ky.gov/,Academic Program,Leadership,Outside School,Flagship statewide scholars program,,,,,,,,,,,,,,,,
Kentucky,Governor’s School for Entrepreneurs (GSE) – Summer Startup,9,11,KY residency; application,Free; sponsors; scholarships for alumni,,N,,School-funded,Applications due winter; summer session,Winter,,https://kentuckygse.com/summer-startup/,Academic Program,Business,Outside School,3?week startup accelerator for HS students,,,,,,,,,,,,,,,,
Kentucky,Governor’s School for the Arts (GSA),10,11,Audition/portfolio; KY residency,Free; state/private funded,,N,,Both,Applications due winter; summer residential,Winter,,https://www.kentuckyperformingarts.org/education/governors-school-for-the-arts,Academic Program,Arts,Outside School,Residential arts training across multiple disciplines,,,,,,,,,,,,,,,,
